,Affiliation,Affiliation_2,Affiliation_3,lng,lat,id,Area_L1,Country,Area_L2
361,"Departamento de Ciência e Tecnologia de Alimentos, Centro de Ciencias Agrárias, Universidade Estadual de Londrina - UEL, Londrina, PR, Brazil"," Centro de Ciencias Agrárias, Universidade Estadual de Londrina - UEL, Londrina, PR, Brazil"," Universidade Estadual de Londrina - UEL, Londrina, PR, Brazil",-51.2015674,-23.3285032,ChIJ9abwN59c65QRxzLFNJqIU2Y,PR,BR,Londrina
362," Centro de Pesquisa e Desenvolvimento de Embalagens, Brazil", Brazil,,-47.0812467,-22.8744132,ChIJ9aPOa0HGyJQRi818cwVEpmw,SP,BR,Campinas
363,"Universidade Estadual de Maringá, Avenida Colombo no 5.790, CEP 87020-900 Maringá, PR., Brazil"," Avenida Colombo no 5.790, CEP 87020-900 Maringá, PR., Brazil"," CEP 87020-900 Maringá, PR., Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
364,"Department of Physiological Sciences, State University of Londrina, Londrina, Brazil"," State University of Londrina, Londrina, Brazil"," Londrina, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
365," Department of Pharmacology and Therapeutics, State University of Maringá, Maringá, Brazil"," State University of Maringá, Maringá, Brazil"," Maringá, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
366,"Department of Food Engineering, Universidade Regional Integrada do Alto Uruguai e das Missões, URI, Av. Sete de Setembro 1621, CEP: 99700-000, Erechim - RS, Brazil"," Universidade Regional Integrada do Alto Uruguai e das Missões, URI, Av. Sete de Setembro 1621, CEP: 99700-000, Erechim - RS, Brazil"," URI, Av. Sete de Setembro 1621, CEP: 99700-000, Erechim - RS, Brazil",-52.2687709,-27.6485324,ChIJBSO6YfoT45QRnU-FusmOsnw,RS,BR,Erechim
367," Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul, IFRS, Campus Sertão, Rod. RS 135, Km 25, Sertão - RS, Brazil"," Ciência e Tecnologia do Rio Grande do Sul, IFRS, Campus Sertão, Rod. RS 135, Km 25, Sertão - RS, Brazil"," IFRS, Campus Sertão, Rod. RS 135, Km 25, Sertão - RS, Brazil",-52.2733764,-28.0457645,ChIJU0yA7eLl4pQR4Y41KcIvqds,RS,BR,
368," Department of Chemical Engineering and Food Engineering, Technological Center, Federal University of Santa Catarina, UFSC, 88040-900, Florianópolis - SC, Brazil"," Technological Center, Federal University of Santa Catarina, UFSC, 88040-900, Florianópolis - SC, Brazil"," Federal University of Santa Catarina, UFSC, 88040-900, Florianópolis - SC, Brazil",-48.5196415,-27.6005949,ChIJp7yoBqs5J5URnQ9eOKG8BJk,SC,BR,Florianópolis
369," Department of Chemical Engineering, Universidade Estadual de Maringá, Av. Colombo 5790, Maringá - PR, Brazil"," Universidade Estadual de Maringá, Av. Colombo 5790, Maringá - PR, Brazil"," Av. Colombo 5790, Maringá - PR, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
370," Department of Chemical Engineering, Federal University of Santa Maria, Av. Roraima 1000, Santa Maria - RS, Brazil"," Federal University of Santa Maria, Av. Roraima 1000, Santa Maria - RS, Brazil"," Av. Roraima 1000, Santa Maria - RS, Brazil",-53.716821,-29.713344,ChIJHwnm0uC1A5URc05nmyTMnec,RS,BR,Santa Maria
371,"Universidade Estadual de Maringá- UEM, Programa de Pós-Graduação em Zootecnia, Campus Universitário, Av. Colombo, 5790, CEP 87020-900, Maringá-PR, Brazil"," Programa de Pós-Graduação em Zootecnia, Campus Universitário, Av. Colombo, 5790, CEP 87020-900, Maringá-PR, Brazil"," Campus Universitário, Av. Colombo, 5790, CEP 87020-900, Maringá-PR, Brazil",,,,,,
372," Universidade Estadual de Ponta Grossa, Departamento de Zootecnia, Campus Uvaranas, Av. General Carlos Cavalcanti, 4748, Uvaranas, CEP 84030-900, Ponta Grossa-PR, Brazil"," Departamento de Zootecnia, Campus Uvaranas, Av. General Carlos Cavalcanti, 4748, Uvaranas, CEP 84030-900, Ponta Grossa-PR, Brazil"," Campus Uvaranas, Av. General Carlos Cavalcanti, 4748, Uvaranas, CEP 84030-900, Ponta Grossa-PR, Brazil",-50.0990858,-25.0895657,ChIJK51GD38c6JQRp54pY0QlHis,PR,BR,Ponta Grossa
373," Universidade Estadual Do Oeste Do Paraná, Grupo de Estudos de Manejo Na Aquicultura- GEMAq, Campus Toledo, Rua da Faculdade, 645, Jardim La Salle, CEP 85903-000, Toledo-PR, Brazil"," Grupo de Estudos de Manejo Na Aquicultura- GEMAq, Campus Toledo, Rua da Faculdade, 645, Jardim La Salle, CEP 85903-000, Toledo-PR, Brazil"," Campus Toledo, Rua da Faculdade, 645, Jardim La Salle, CEP 85903-000, Toledo-PR, Brazil",-53.7527956,-24.7244819,ChIJE1QyUJGV85QRv7ardVM1WrU,PR,BR,Toledo
374," Ministério da Pesca e Aquicultura, Edifício Calton Tower, Quadra 2, Lote 10, CEP 70070-120, Brasília-DF, Brazil"," Edifício Calton Tower, Quadra 2, Lote 10, CEP 70070-120, Brasília-DF, Brazil"," Quadra 2, Lote 10, CEP 70070-120, Brasília-DF, Brazil",-47.8828611,-15.8007284,ChIJGcY8vt86WpMRZH7P2sdhuOI,DF,BR,Brasília
375," Instituto Água Viva de Pesquisa e Extensão em Aquicultura e Pesca, Seti. Rua: Verbo Divino, 266, Jardim Santa Maria, CEP 85903-140, Toledo-PR, Brazil"," Seti. Rua: Verbo Divino, 266, Jardim Santa Maria, CEP 85903-140, Toledo-PR, Brazil"," 266, Jardim Santa Maria, CEP 85903-140, Toledo-PR, Brazil",-53.7588574,-24.7289042,EjpSLiBTYW50YSBNYXJpYSwgMjY2IC0gSmFyZGltIExhIFNhbGxlLCBUb2xlZG8gLSBQUiwgQnJhc2ls,PR,BR,Toledo
376,"Department of Pharmacy, UNIPAR, 87706-490, Paranavaí, PR, Brazil"," UNIPAR, 87706-490, Paranavaí, PR, Brazil"," 87706-490, Paranavaí, PR, Brazil",-52.4378619,-23.0797441,ChIJKXv_yNOVkpQRCoFG-QJGUu4,PR,BR,Paranavaí
377," Department of Biology, UNINGA, Maringá, PR, Brazil"," UNINGA, Maringá, PR, Brazil"," Maringá, PR, Brazil",-51.900047,-23.366516,ChIJ48fvEPvW7JQRnx8Y8fN4SmU,PR,BR,Maringá
378," Department of Physiology and Biophysics, University of São Paulo, 05508-900, São Paulo, SP, Brazil"," University of São Paulo, 05508-900, São Paulo, SP, Brazil"," 05508-900, São Paulo, SP, Brazil",-46.7227268,-23.562803,ChIJEVnw4BFWzpQRxitUAKmLr50,SP,BR,São Paulo
379,"Department of Morphophysiological Sciences, State University of Maringá, Maringá, PR, 87020-900, Brazil"," State University of Maringá, Maringá, PR, 87020-900, Brazil"," Maringá, PR, 87020-900, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
380," Department of Pharmacy and Pharmacology, State University of Maringá, Maringá, PR, 87020-900, Brazil"," State University of Maringá, Maringá, PR, 87020-900, Brazil"," Maringá, PR, 87020-900, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
381,"Unidade de Ensino Superior Ingá;, Maringá, PR, Brazil"," Maringá, PR, Brazil"," PR, Brazil",-51.900047,-23.366516,ChIJ48fvEPvW7JQRnx8Y8fN4SmU,PR,BR,Maringá
382," Bolsista de Iniciação Científica do CNPq, Brazil", Brazil,,-51.92528,-14.235004,ChIJzyjM68dZnAARYz4p8gYVWik,,BR,
